pair,fold,net_pnl_total,trades,hit_rate,reason
VWRL_L_VEVE_AS,1,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,2,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,3,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,4,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,5,-211.47704910060162,1,0.0,
VWRL_L_VEVE_AS,6,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,7,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,8,0.0,0,0.0,SKIP_TOO_SHORT
VWRL_L_VEVE_AS,9,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,10,0.0,0,0.0,SKIP_MIN_TRADES_TEST
