Price,IVV
Ticker,IVV
Date,
2023-10-03,412.34942626953125
2023-10-04,415.2699890136719
2023-10-05,415.0752868652344
2023-10-06,419.9527282714844
2023-10-09,422.7174987792969
2023-10-10,424.927490234375
2023-10-11,426.728515625
2023-10-12,424.1681213378906
2023-10-13,421.9386901855469
2023-10-16,426.3293762207031
2023-10-17,426.4559326171875
2023-10-18,420.8677978515625
2023-10-19,417.0516052246094
2023-10-20,411.9210205078125
2023-10-23,411.20068359375
2023-10-24,414.2965087890625
2023-10-25,408.4066162109375
2023-10-26,403.4805603027344
2023-10-27,401.6308288574219
2023-10-30,406.4011535644531
2023-10-31,408.8251953125
2023-11-01,413.29376220703125
2023-11-02,421.2572326660156
2023-11-03,425.0345458984375
2023-11-06,426.05682373046875
2023-11-07,427.1860656738281
2023-11-08,427.5365905761719
2023-11-09,424.3141174316406
2023-11-10,430.9537048339844
2023-11-13,430.4571533203125
2023-11-14,438.89764404296875
2023-11-15,439.7835693359375
2023-11-16,440.3287353515625
2023-11-17,440.7960510253906
2023-11-20,444.3397216796875
2023-11-21,443.3174743652344
2023-11-22,445.0017395019531
2023-11-24,445.3327331542969
2023-11-27,444.5052185058594
2023-11-28,444.8848571777344
2023-11-29,444.680419921875
2023-11-30,446.2867736816406
2023-12-01,448.9250183105469
2023-12-04,446.70538330078125
2023-12-05,446.6080322265625
2023-12-06,444.75830078125
2023-12-07,448.1754150390625
2023-12-08,450.11273193359375
2023-12-11,451.8651428222656
2023-12-12,454.104248046875
2023-12-13,460.3251037597656
2023-12-14,461.76593017578125
2023-12-15,460.9870910644531
2023-12-18,463.5474548339844
2023-12-19,466.2247314453125
2023-12-20,459.5437927246094
2023-12-21,464.20623779296875
2023-12-22,465.09576416015625
2023-12-26,467.09954833984375
2023-12-27,467.9890441894531
2023-12-28,468.20404052734375
2023-12-29,466.86492919921875
2024-01-02,464.18670654296875
2024-01-03,460.3941955566406
2024-01-04,458.97686767578125
2024-01-05,459.5242614746094
2024-01-08,465.848388671875
2024-01-09,465.40850830078125
2024-01-10,468.01837158203125
2024-01-11,467.76422119140625
2024-01-12,468.1649475097656
2024-01-16,466.5423889160156
